track,domain,category,system_id,rag_method,embedding_model,generator_model,judge_model,questions,answer_correctness,gold_answer_correctness,evidence_recall,context_precision,failure_rate
end-to-end,finance,calculation,bm25,bm25,none,balanced-oss-llm,citation-strict-judge-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,balanced-oss-llm,exact-match-gold,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,balanced-oss-llm,llm-judge-balanced-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,extractive-strict,citation-strict-judge-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,extractive-strict,exact-match-gold,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,extractive-strict,llm-judge-balanced-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,bm25,bm25,none,reasoning-oss-llm,citation-strict-judge-proxy,3,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333
end-to-end,finance,calculation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,3,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333
end-to-end,finance,calculation,bm25,bm25,none,reasoning-oss-llm,llm-judge-balanced-proxy,3,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,balanced-oss-llm,citation-strict-judge-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,balanced-oss-llm,exact-match-gold,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,balanced-oss-llm,llm-judge-balanced-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,extractive-strict,citation-strict-judge-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,extractive-strict,exact-match-gold,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,extractive-strict,llm-judge-balanced-proxy,3,0.0,0.0,1.0,0.25,1.0
end-to-end,finance,calculation,dense-vector,dense-vector,bge-m3-proxy,reasoning-oss-llm,citation-strict-judge-proxy,3,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333
