source,eval_id,track,domain,system_id,embedding_model,generator_model,judge_model,failure_type,failed_assertion,count
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,7
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,7
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,7
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,7
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,7
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,83
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,83
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,83
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,83
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,83
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,14
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,14
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,14
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,76
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,76
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,76
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,76
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,76
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,9
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,citation_validity,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,84
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,84
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,84
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,84
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,84
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,3
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,3
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,3
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,generation_hallucination,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,generation_hallucination,context_precision,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,generation_hallucination,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,generation_hallucination,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,answer_correctness,4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,citation_validity,4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,context_precision,4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,evidence_recall,4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,bm25,none,reasoning-oss-llm,exact-match-gold,retrieval_miss,failure_free,4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,2
