source,eval_id,track,domain,category,system_id,rag_method,embedding_model,generator_model,judge_model,questions,passed,failed,pass_rate,score,answer_correctness,evidence_recall,context_precision,citation_validity,failure_rate
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,3,2,1,0.6666666666666666,0.7083333333333334,0.6666666666666666,1.0,0.25,0.6666666666666666,0.3333333333333333
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.5208333333333334,0.5,0.5,0.125,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.9166666666666666,1.0,1.0,0.5,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,6,3,3,0.5,0.5300925925925926,0.5,0.5,0.18055555555555555,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,4,1,3,0.25,0.34375,0.25,0.25,0.0625,0.25,0.75
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,3,2,1,0.6666666666666666,0.7083333333333334,0.6666666666666666,1.0,0.25,0.6666666666666666,0.3333333333333333
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.9166666666666666,1.0,1.0,0.5,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,6,4,2,0.6666666666666666,0.6851851851851852,0.6666666666666666,0.8333333333333334,0.2777777777777778,0.6666666666666666,0.3333333333333333
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,4,4,0,1.0,0.8888888888888888,1.0,1.0,0.3333333333333333,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,calculation,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,3,2,1,0.6666666666666666,0.7083333333333334,0.6666666666666666,1.0,0.25,0.6666666666666666,0.3333333333333333
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,direct_lookup,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,multi_section,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.9166666666666666,1.0,1.0,0.5,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,no_answer,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,section_navigation,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,6,5,1,0.8333333333333334,0.7916666666666666,0.8333333333333334,1.0,0.25,0.8333333333333334,0.16666666666666666
